,loss,accuracy,val_loss,val_accuracy
0,0.6285531520843506,0.6322500109672546,0.6523338556289673,0.6414999961853027
1,0.5343685150146484,0.702750027179718,0.5504893064498901,0.6919999718666077
2,0.465143084526062,0.7572500109672546,0.38362061977386475,0.8324999809265137
3,0.39337557554244995,0.8023750185966492,0.33949020504951477,0.8379999995231628
4,0.33959004282951355,0.8331249952316284,0.27774035930633545,0.8715000152587891
5,0.30207961797714233,0.8498749732971191,0.2620396912097931,0.8949999809265137
6,0.2726060748100281,0.8678749799728394,0.2697965204715729,0.875
7,0.26340994238853455,0.8772500157356262,0.1971386969089508,0.921999990940094
8,0.21874143183231354,0.8970000147819519,0.18493930995464325,0.9194999933242798
9,0.2029000222682953,0.9046249985694885,0.16242322325706482,0.9315000176429749
10,0.1920492947101593,0.9087499976158142,0.16165097057819366,0.9359999895095825
11,0.18484163284301758,0.9144999980926514,0.1410982459783554,0.9424999952316284
12,0.1721677929162979,0.918749988079071,0.13564276695251465,0.9409999847412109
13,0.1609746664762497,0.9253749847412109,0.14478440582752228,0.9455000162124634
14,0.14780911803245544,0.9319999814033508,0.13026957213878632,0.9520000219345093
15,0.15574365854263306,0.9321249723434448,0.14028963446617126,0.9459999799728394
16,0.15061892569065094,0.9312499761581421,0.11952971667051315,0.9520000219345093
17,0.1286502629518509,0.940625011920929,0.11589798331260681,0.9559999704360962
18,0.12609627842903137,0.9451249837875366,0.1176389753818512,0.9589999914169312
19,0.11531795561313629,0.9449999928474426,0.10488060861825943,0.9635000228881836
20,0.11315514892339706,0.9491249918937683,0.10119117796421051,0.965499997138977
21,0.13137882947921753,0.9426249861717224,0.10348660498857498,0.968999981880188
22,0.1216520145535469,0.9483749866485596,0.11551302671432495,0.9589999914169312
23,0.11629810929298401,0.9506250023841858,0.1101931482553482,0.968999981880188
24,0.11155913025140762,0.9495000243186951,0.11641942709684372,0.9624999761581421
25,0.09919194877147675,0.9577500224113464,0.10956475138664246,0.9729999899864197
26,0.09758840501308441,0.956375002861023,0.10829237848520279,0.9700000286102295
27,0.10681672394275665,0.953499972820282,0.1104084849357605,0.9660000205039978
28,0.08939892053604126,0.9593750238418579,0.0973903089761734,0.9714999794960022
29,0.0927019864320755,0.9593750238418579,0.10563073307275772,0.9710000157356262
30,0.1093091070652008,0.9520000219345093,0.10838903486728668,0.9704999923706055
31,0.09155373275279999,0.9616249799728394,0.09619148820638657,0.9714999794960022
32,0.08496390283107758,0.9645000100135803,0.11049691587686539,0.9735000133514404
33,0.0864666998386383,0.9649999737739563,0.11466500163078308,0.972000002861023
34,0.09175259619951248,0.9616249799728394,0.10797559469938278,0.9779999852180481
35,0.08303052186965942,0.965624988079071,0.09956713020801544,0.9794999957084656
36,0.08035017549991608,0.965499997138977,0.11822472512722015,0.9764999747276306
37,0.09469450265169144,0.9601250290870667,0.11160347610712051,0.9754999876022339
38,0.08515185862779617,0.9624999761581421,0.10466191917657852,0.9725000262260437
39,0.08695343136787415,0.9653750061988831,0.12044872343540192,0.968999981880188
40,0.07884415984153748,0.9660000205039978,0.1030256450176239,0.9764999747276306
41,0.0764685720205307,0.9676250219345093,0.10567115992307663,0.9745000004768372
